


at:8	acertos:58.31	micro:0.67	macro:0.55	1350 selecionados	J48
at:8	acertos:70.63	micro:0.79	macro:0.7	1350 selecionados	MultilayerPerceptron



at:8	acertos:61.27	micro:0.6	macro:0.58	1450 selecionados	SMO
at:8	acertos:62.48	micro:0.71	macro:0.61	1450 selecionados	IBk
at:8	acertos:63.75	micro:0.7	macro:0.62	1450 selecionados	IBk
at:8	acertos:64.53	micro:0.71	macro:0.62	1450 selecionados	IBk
at:8	acertos:65.2	micro:0.71	macro:0.64	1450 selecionados	IBk
at:8	acertos:65.74	micro:0.72	macro:0.65	1450 selecionados	IBk
at:8	acertos:65.2	micro:0.71	macro:0.64	1450 selecionados	IBk
at:8	acertos:66.04	micro:0.71	macro:0.65	1450 selecionados	IBk
at:8	acertos:65.8	micro:0.71	macro:0.64	1450 selecionados	IBk
at:8	acertos:65.44	micro:0.71	macro:0.64	1450 selecionados	IBk
at:8	acertos:47.31	micro:0.55	macro:0.45	1450 selecionados	NaiveBayes
at:8	acertos:47.37	micro:0.55	macro:0.45	1450 selecionados	NaiveBayesSimple
at:8	acertos:58.73	micro:0.67	macro:0.55	1450 selecionados	J48
at:8	acertos:70.94	micro:0.79	macro:0.7	1450 selecionados	MultilayerPerceptron



at:8	acertos:61.27	micro:0.6	macro:0.58	1550 selecionados	SMO
at:8	acertos:62.54	micro:0.71	macro:0.61	1550 selecionados	IBk
at:8	acertos:63.87	micro:0.7	macro:0.62	1550 selecionados	IBk
at:8	acertos:64.47	micro:0.71	macro:0.62	1550 selecionados	IBk
at:8	acertos:65.26	micro:0.71	macro:0.64	1550 selecionados	IBk
at:8	acertos:65.92	micro:0.72	macro:0.65	1550 selecionados	IBk
at:8	acertos:65.32	micro:0.71	macro:0.64	1550 selecionados	IBk
at:8	acertos:66.28	micro:0.71	macro:0.65	1550 selecionados	IBk
at:8	acertos:65.68	micro:0.71	macro:0.65	1550 selecionados	IBk
at:8	acertos:65.38	micro:0.71	macro:0.64	1550 selecionados	IBk
at:8	acertos:47.37	micro:0.55	macro:0.45	1550 selecionados	NaiveBayes
at:8	acertos:47.43	micro:0.55	macro:0.45	1550 selecionados	NaiveBayesSimple
at:8	acertos:59.03	micro:0.67	macro:0.55	1550 selecionados	J48
at:8	acertos:71.0	micro:0.79	macro:0.7	1550 selecionados	MultilayerPerceptron



at:8	acertos:61.21	micro:0.6	macro:0.58	1650 selecionados	SMO
at:8	acertos:62.72	micro:0.71	macro:0.61	1650 selecionados	IBk
at:8	acertos:63.81	micro:0.71	macro:0.62	1650 selecionados	IBk
at:8	acertos:65.02	micro:0.71	macro:0.63	1650 selecionados	IBk
at:8	acertos:65.14	micro:0.71	macro:0.64	1650 selecionados	IBk
at:8	acertos:65.8	micro:0.72	macro:0.65	1650 selecionados	IBk
at:8	acertos:65.5	micro:0.71	macro:0.65	1650 selecionados	IBk
at:8	acertos:66.16	micro:0.71	macro:0.65	1650 selecionados	IBk
at:8	acertos:65.68	micro:0.71	macro:0.65	1650 selecionados	IBk
at:8	acertos:65.2	micro:0.7	macro:0.64	1650 selecionados	IBk
at:8	acertos:47.49	micro:0.55	macro:0.45	1650 selecionados	NaiveBayes
at:8	acertos:47.49	micro:0.55	macro:0.45	1650 selecionados	NaiveBayesSimple
at:8	acertos:57.64	micro:0.65	macro:0.53	1650 selecionados	J48
at:8	acertos:70.88	micro:0.79	macro:0.7	1650 selecionados	MultilayerPerceptron



at:8	acertos:61.39	micro:0.6	macro:0.58	1750 selecionados	SMO
at:8	acertos:62.66	micro:0.71	macro:0.61	1750 selecionados	IBk
at:8	acertos:63.63	micro:0.7	macro:0.62	1750 selecionados	IBk
at:8	acertos:64.89	micro:0.71	macro:0.63	1750 selecionados	IBk
