atributos_SMO,acertos_SMO,micro_SMO,macro_SMO,nome_SMO,atributos_IBk_3,acertos_IBk_3,micro_IBk_3,macro_IBk_3,nome_IBk_3,atributos_IBk_5,acertos_IBk_5,micro_IBk_5,macro_IBk_5,nome_IBk_5,atributos_IBk_7,acertos_IBk_7,micro_IBk_7,macro_IBk_7,nome_IBk_7,atributos_IBk_9,acertos_IBk_9,micro_IBk_9,macro_IBk_9,nome_IBk_9,atributos_IBk_11,acertos_IBk_11,micro_IBk_11,macro_IBk_11,nome_IBk_11,atributos_IBk_13,acertos_IBk_13,micro_IBk_13,macro_IBk_13,nome_IBk_13,atributos_IBk_15,acertos_IBk_15,micro_IBk_15,macro_IBk_15,nome_IBk_15,atributos_IBk_17,acertos_IBk_17,micro_IBk_17,macro_IBk_17,nome_IBk_17,atributos_IBk_19,acertos_IBk_19,micro_IBk_19,macro_IBk_19,nome_IBk_19,atributos_NaiveBayes,acertos_NaiveBayes,micro_NaiveBayes,macro_NaiveBayes,nome_NaiveBayes,atributos_MultilayerPerceptron,acertos_MultilayerPerceptron,micro_MultilayerPerceptron,macro_MultilayerPerceptron,nome_MultilayerPerceptron,atributos_J48,acertos_J48,micro_J48,macro_J48,nome_J48,
2110, 83.39, 0.88, 0.85, SMO, 2110, 89.86, 0.93, 0.9, IBk, 2110, 90.31, 0.94, 0.9, IBk, 2110, 90.48, 0.94, 0.91, IBk, 2110, 90.22, 0.94, 0.9, IBk, 2110, 90.22, 0.94, 0.9, IBk, 2110, 90.13, 0.94, 0.9, IBk, 2110, 89.77, 0.93, 0.9, IBk, 2110, 89.68, 0.93, 0.9, IBk, 2110, 89.5, 0.93, 0.9, IBk, 2110, 70.2, 0.79, 0.71, NaiveBayes, 2110, 91.02, 0.94, 0.91, MultilayerPerceptron, 2110, 83.39, 0.89, 0.83, J48, 
2210, 82.5, 0.87, 0.84, SMO, 2210, 89.77, 0.93, 0.9, IBk, 2210, 90.22, 0.94, 0.9, IBk, 2210, 90.93, 0.94, 0.91, IBk, 2210, 90.31, 0.94, 0.9, IBk, 2210, 90.48, 0.94, 0.91, IBk, 2210, 90.39, 0.94, 0.91, IBk, 2210, 90.66, 0.94, 0.91, IBk, 2210, 89.86, 0.93, 0.9, IBk, 2210, 89.68, 0.93, 0.9, IBk, 2210, 70.29, 0.79, 0.71, NaiveBayes, 2210, 91.11, 0.94, 0.91, MultilayerPerceptron, 2210, 83.84, 0.9, 0.84, J48, 
2310, 82.85, 0.87, 0.84, SMO, 2310, 89.5, 0.93, 0.9, IBk, 2310, 90.04, 0.93, 0.9, IBk, 2310, 90.48, 0.94, 0.91, IBk, 2310, 90.31, 0.94, 0.9, IBk, 2310, 90.31, 0.94, 0.9, IBk, 2310, 90.31, 0.94, 0.91, IBk, 2310, 90.66, 0.94, 0.91, IBk, 2310, 89.77, 0.93, 0.9, IBk, 2310, 89.68, 0.93, 0.9, IBk, 2310, 70.38, 0.79, 0.7, NaiveBayes, 2310, 91.11, 0.94, 0.91, MultilayerPerceptron, 2310, 84.47, 0.9, 0.84, J48, 
2410, 82.23, 0.87, 0.84, SMO, 2410, 89.23, 0.93, 0.89, IBk, 2410, 89.95, 0.93, 0.9, IBk, 2410, 90.22, 0.93, 0.9, IBk, 2410, 90.39, 0.94, 0.9, IBk, 2410, 90.31, 0.94, 0.9, IBk, 2410, 90.04, 0.93, 0.9, IBk, 2410, 90.39, 0.94, 0.91, IBk, 2410, 89.77, 0.93, 0.9, IBk, 2410, 89.77, 0.93, 0.9, IBk, 2410, 71.01, 0.8, 0.71, NaiveBayes, 2410, 91.74, 0.95, 0.92, MultilayerPerceptron, 2410, 84.38, 0.9, 0.84, J48, 
2510, 82.76, 0.87, 0.85, SMO, 2510, 89.59, 0.93, 0.9, IBk, 2510, 89.95, 0.93, 0.9, IBk, 2510, 90.31, 0.94, 0.9, IBk, 2510, 90.13, 0.93, 0.9, IBk, 2510, 90.13, 0.94, 0.9, IBk, 2510, 90.22, 0.94, 0.9, IBk, 2510, 90.22, 0.94, 0.9, IBk, 2510, 89.59, 0.93, 0.9, IBk, 2510, 89.86, 0.93, 0.9, IBk, 2510, 71.45, 0.8, 0.72, NaiveBayes, 2510, 91.74, 0.95, 0.92, MultilayerPerceptron, 2510, 85.01, 0.9, 0.85, J48, 
2610, 82.85, 0.87, 0.85, SMO, 2610, 89.59, 0.93, 0.9, IBk, 2610, 89.95, 0.93, 0.9, IBk, 2610, 90.22, 0.94, 0.9, IBk, 2610, 90.31, 0.94, 0.9, IBk, 2610, 90.22, 0.94, 0.9, IBk, 2610, 90.31, 0.94, 0.91, IBk, 2610, 90.22, 0.94, 0.9, IBk, 2610, 89.68, 0.93, 0.9, IBk, 2610, 89.77, 0.93, 0.9, IBk, 2610, 71.54, 0.81, 0.72, NaiveBayes, 2610, 91.65, 0.95, 0.91, MultilayerPerceptron, 2610, 84.65, 0.9, 0.84, J48, 
2710, 83.84, 0.88, 0.85, SMO, 2710, 89.68, 0.93, 0.9, IBk, 2710, 90.13, 0.93, 0.9, IBk, 2710, 90.22, 0.93, 0.9, IBk, 2710, 90.22, 0.93, 0.9, IBk, 2710, 90.22, 0.94, 0.9, IBk, 2710, 90.13, 0.94, 0.9, IBk, 2710, 90.31, 0.94, 0.91, IBk, 2710, 89.95, 0.93, 0.9, IBk, 2710, 89.86, 0.93, 0.9, IBk, 2710, 71.81, 0.81, 0.72, NaiveBayes, 2710, 92.1, 0.95, 0.92, MultilayerPerceptron, 2710, 85.01, 0.91, 0.85, J48, 
2810, 83.93, 0.88, 0.85, SMO, 2810, 89.5, 0.93, 0.9, IBk, 2810, 89.77, 0.93, 0.9, IBk, 2810, 90.39, 0.94, 0.9, IBk, 2810, 90.39, 0.94, 0.9, IBk, 2810, 90.13, 0.94, 0.9, IBk, 2810, 90.22, 0.94, 0.9, IBk, 2810, 90.22, 0.94, 0.9, IBk, 2810, 89.95, 0.93, 0.9, IBk, 2810, 89.68, 0.93, 0.9, IBk, 2810, 71.54, 0.8, 0.72, NaiveBayes, 2810, 92.19, 0.95, 0.92, MultilayerPerceptron, 2810, 85.73, 0.91, 0.86, J48, 
2910, 83.93, 0.88, 0.85, SMO, 2910, 89.77, 0.93, 0.9, IBk, 2910, 89.68, 0.93, 0.9, IBk, 2910, 90.48, 0.94, 0.9, IBk, 2910, 90.39, 0.94, 0.9, IBk, 2910, 89.95, 0.93, 0.9, IBk, 2910, 89.95, 0.93, 0.9, IBk, 2910, 90.39, 0.94, 0.9, IBk, 2910, 90.39, 0.94, 0.91, IBk, 2910, 90.13, 0.94, 0.9, IBk, 2910, 71.63, 0.8, 0.72, NaiveBayes, 2910, 91.56, 0.95, 0.91, MultilayerPerceptron, 2910, 84.56, 0.9, 0.85, J48, 
3010, 83.93, 0.88, 0.85, SMO, 3010, 89.95, 0.93, 0.9, IBk, 3010, 89.86, 0.93, 0.9, IBk, 3010, 90.84, 0.94, 0.91, IBk, 3010, 90.57, 0.94, 0.91, IBk, 3010, 90.31, 0.94, 0.9, IBk, 3010, 90.04, 0.93, 0.9, IBk, 3010, 90.13, 0.94, 0.9, IBk, 3010, 90.31, 0.94, 0.91, IBk, 3010, 90.31, 0.94, 0.91, IBk, 3010, 71.81, 0.81, 0.72, NaiveBayes, 3010, 91.56, 0.95, 0.91, MultilayerPerceptron, 3010, 84.02, 0.9, 0.84, J48, 
