


at:11	acertos:81.52	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:81.88	micro:0.73	macro:0.58	1150 selecionados	IBk
at:11	acertos:56.8	micro:0.5	macro:0.39	1150 selecionados	NaiveBayes
at:11	acertos:56.91	micro:0.5	macro:0.39	1150 selecionados	NaiveBayesSimple
at:11	acertos:77.43	micro:0.67	macro:0.51	1150 selecionados	J48
at:11	acertos:82.35	micro:0.74	macro:0.6	1150 selecionados	MultilayerPerceptron



at:11	acertos:64.76	micro:0.44	macro:0.33	1250 selecionados	SMO
at:11	acertos:79.22	micro:0.69	macro:0.54	1250 selecionados	IBk
at:11	acertos:79.83	micro:0.7	macro:0.55	1250 selecionados	IBk
at:11	acertos:80.95	micro:0.72	macro:0.57	1250 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:81.56	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:81.99	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:81.88	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	1250 selecionados	IBk
at:11	acertos:56.84	micro:0.5	macro:0.39	1250 selecionados	NaiveBayes
at:11	acertos:56.73	micro:0.5	macro:0.39	1250 selecionados	NaiveBayesSimple
at:11	acertos:76.82	micro:0.67	macro:0.5	1250 selecionados	J48
at:11	acertos:82.53	micro:0.74	macro:0.6	1250 selecionados	MultilayerPerceptron



at:11	acertos:64.84	micro:0.44	macro:0.34	1350 selecionados	SMO
at:11	acertos:79.3	micro:0.69	macro:0.54	1350 selecionados	IBk
at:11	acertos:79.8	micro:0.7	macro:0.55	1350 selecionados	IBk
at:11	acertos:80.95	micro:0.72	macro:0.57	1350 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.58	1350 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	1350 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	1350 selecionados	IBk
at:11	acertos:82.06	micro:0.74	macro:0.58	1350 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	1350 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	1350 selecionados	IBk
at:11	acertos:56.76	micro:0.5	macro:0.39	1350 selecionados	NaiveBayes
at:11	acertos:56.62	micro:0.5	macro:0.39	1350 selecionados	NaiveBayesSimple
at:11	acertos:76.86	micro:0.67	macro:0.51	1350 selecionados	J48
at:11	acertos:82.38	micro:0.74	macro:0.6	1350 selecionados	MultilayerPerceptron



at:11	acertos:64.87	micro:0.45	macro:0.34	1450 selecionados	SMO
at:11	acertos:79.33	micro:0.69	macro:0.54	1450 selecionados	IBk
at:11	acertos:79.8	micro:0.7	macro:0.55	1450 selecionados	IBk
at:11	acertos:80.91	micro:0.72	macro:0.57	1450 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.58	1450 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	1450 selecionados	IBk
at:11	acertos:81.66	micro:0.73	macro:0.58	1450 selecionados	IBk
